Year,City,State,Country,,
1980, Lake Forest, Illinois,United States,,
1980, Deerfield, Illinois,United States,,
1980, Wichita, Kansas,United States,,
1980, Neenah, Wisconsin,United States,,
1980, Farmington, Maine,United States, ,
1980, Minneapolis, Minnesota,United States,,
1980, Cleveland, Ohio,United States,,
1980, Arlington Heights, Illinois,United States,,
1980, New Berlin, Wisconsin,United States,,
1980, St Paul, Minnesota,United States,,
1980, Platteville, Wisconsin,United States,,
1980, Cedar Rapids, Iowa,United States,,
1980, Greencastle, Indiana,United States,,
1980, Tokyo,, Japan,,
1980, Amherst, Massachusetts,United States,,
1980, Terrace, California,United States,,
1980, Northfield, Minnesota,United States,,
1980, Indianapolis, Indiana,United States,,
1980, Fairfield, Connecticut,United States,,
1980, St Louis Park, Minnesota,United States,,
1980, Northfield, Illinois,United States,,
1980, Whltefish Bay, Wisconsin,United States,,
1980, Mankato, Minnesota,United States,,
1980, Shorewood, Wisconsin,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Wauwatosa, Wisconsin,United States,,
1980, Ann Arbor, Michigan,United States,,
1980, Monmouth, Illinois,United States,,
1980, Ann Arbor, Michigan,United States,,
1980, Bethesda, Maryland,United States,,
1980, East Orange, New Jersey,United States,,
1980, Los Angeles, California,United States,,
1980, Alpena, Michigan,United States,,
1980, Rochester, New York,United States,,
1980, Penfield, New York,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Rochester, Minnesota,United States,,
1980, San Diego,California,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Grand Rapids, Minnesota,United States,,
1980, New Ulm, Minnesota,United States,,
1980, Beloit, Wisconsin,United States,,
1980, Wheeling, Illinois,United States,,
1980, Edina, Minnesota,United States,,
1980, Indianapolis, Indiana,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Colorado Springs, Colorado,United States, ,
1980, Minneapolis, Minnesota,United States,,
1980, Portland, Oregon,United States,,
1980, Cohasset,Massachusetts,United States,,
1980, Mitchell, South Dakota,United States,,
1980, Appleton, Wisconsin,United States,,
1980, Asti,,Italy,,
1980, Richardson, Texas,United States,, 
1980, Highland Park, Illinois,United States,,
1980, New Carrollton, Maryland,United States, ,
1980, Kailua, Hawaii,United States,,
1980, Portola Valley, California,United States,,
1980, Baltimore,Maryland,United States,,
1980, Madison, Wisconsin,United States,,
1980, South Bend, Indiana,United States,,
1980, Schenectady,New York,United States,,
1980, Indianapolis, Indiana,United States,,
1980, Webster Groves, Missouri,United States,,
1980, Ann Arbor, Michigan,United States,,
1980, Fairbanks, Alaska,United States,,
1980, Tucson, Arizona,United States,,
1980, Fridley, Minnesota,United States,,
1980, Pasadena, California,United States,,
1980, Edina, Minnesota,United States,,
1980, Edina,Minnesota,United States,,
1980, St Peter,Minnesota,United States,,
1980, Omaha, Nebraska,United States,,
1980, Richfield, Minnesota,United States,,
1980, Appleton,Wisconsin,United States,,
1980, St Paul,Minnesota,United States,,
1980, Chaska, Minnesota,United States,,
1980, Bloomington, Indiana,United States,,
1980, Belmont, Massachusetts,United States,,
1980, Ardsley, New York,United States,,
1980, Ann Arbor, Michigan,United States,,
1980, Skokie, Illinois,United States,,
1980, Philadelphia,Pennsylvania,United States,,
1980, Denver, Colorado,United States,,
1980, Cottage Grove, Minnesota,United States,,
1980, Pittsford, New York,United States,,
1980, Iowa City, Iowa,United States,,
1980, Washington, DC,United States,,
1980, Bloomington, Minnesota,United States, ,
1980, Dickinson, North Dakota,United States,,
1980, Webster Groves, Missouri,United States,,
1980, Wayzata, Minnesota,United States,,
